"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1","Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2"
779471883,"Attrited Customer",54,"F",1,"Graduate","Married","Less than $40K","Blue",40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0.99028,0.00972
711525033,"Existing Customer",66,"F",0,"High School","Married","Less than $40K","Blue",54,3,4,2,3171,2179,992,1.224,1946,38,1.923,0.687,0.00018134,0.99982
712813458,"Existing Customer",49,"M",2,"Unknown","Married","$120K +","Blue",36,4,2,0,19763,2517,17246,0.664,1414,35,0.25,0.127,4.6151e-05,0.99995
714374133,"Attrited Customer",56,"M",2,"Graduate","Married","$120K +","Blue",36,1,3,3,15769,0,15769,1.041,602,15,0.364,0,0.99671,0.00329379
768563658,"Existing Customer",56,"M",2,"Uneducated","Married","$40K - $60K","Blue",50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422,0.00019683,0.9998
711427458,"Existing Customer",44,"F",5,"Graduate","Married","Unknown","Blue",35,4,1,2,6273,978,5295,2.275,1359,25,1.083,0.156,5.6861e-05,0.99994
787584108,"Existing Customer",55,"M",3,"Unknown","Married","$80K - $120K","Blue",47,4,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587,0.00021834,0.99978
712030833,"Attrited Customer",48,"M",2,"Graduate","Married","$60K - $80K","Silver",35,2,4,4,34516,0,34516,0.763,691,15,0.5,0,0.99823,0.00177065
807986133,"Existing Customer",57,"M",2,"College","Married","$60K - $80K","Blue",52,5,3,3,6584,1817,4767,0.62,1353,35,0.667,0.276,0.00029411,0.99971
711314058,"Existing Customer",49,"M",2,"Graduate","Married","$60K - $80K","Blue",32,2,2,2,1687,1107,580,1.715,1670,17,2.4,0.656,0.00011382,0.99989
717975333,"Existing Customer",50,"M",2,"Doctorate","Married","$80K - $120K","Blue",38,6,2,2,25300,1330,23970,1.072,837,15,2,0.053,0.00016471,0.99984
720096558,"Existing Customer",55,"F",2,"Graduate","Married","Less than $40K","Blue",42,5,3,3,2216,1034,1182,0.758,1540,36,0.286,0.467,0.00030251,0.9997
820582308,"Existing Customer",42,"M",5,"Uneducated","Married","$80K - $120K","Blue",37,6,2,2,22913,1528,21385,0.414,1394,35,0.522,0.067,0.00012082,0.99988
710790258,"Existing Customer",47,"M",2,"Graduate","Married","$80K - $120K","Blue",38,6,3,2,28904,1899,27005,0.85,1334,35,0.4,0.066,0.00017987,0.99982
715623483,"Existing Customer",47,"M",3,"Graduate","Married","$60K - $80K","Blue",37,4,4,0,8567,1695,6872,1.242,1457,41,1.412,0.198,8.3212e-05,0.99992
711013983,"Attrited Customer",55,"F",4,"Unknown","Married","$40K - $60K","Blue",45,2,4,3,2158,0,2158,0.585,615,12,0.714,0,0.99763,0.00236635
755420433,"Existing Customer",59,"F",1,"Graduate","Married","Unknown","Blue",52,2,3,3,10133,1417,8716,0.383,1068,20,0.818,0.14,0.00028395,0.99972
716396358,"Existing Customer",52,"M",2,"Graduate","Married","$60K - $80K","Blue",47,5,3,0,3085,1910,1175,0.921,1531,35,0.667,0.619,6.6354e-05,0.99993
778992108,"Existing Customer",57,"M",2,"Unknown","Married","$120K +","Blue",45,5,3,3,5266,0,5266,1.702,1516,29,1.636,0,0.00033251,0.99967
715550508,"Existing Customer",45,"F",3,"Unknown","Married","Unknown","Blue",28,5,1,2,2535,2440,95,1.705,1312,20,1.222,0.963,6.282e-05,0.99994
719712633,"Existing Customer",64,"M",1,"Graduate","Married","Less than $40K","Blue",52,6,4,3,1709,895,814,1.656,1673,32,0.882,0.524,0.00034315,0.99966
772629333,"Existing Customer",45,"M",3,"Graduate","Married","$40K - $60K","Blue",35,5,4,2,3454,1200,2254,0.597,1313,30,0.304,0.347,0.00022556,0.99977
720336708,"Existing Customer",53,"M",3,"Doctorate","Married","$40K - $60K","Blue",35,5,3,2,3789,1706,2083,1.047,1609,42,0.68,0.45,0.00027008,0.99973
802013583,"Existing Customer",56,"M",3,"College","Married","$120K +","Blue",50,3,2,0,9689,2250,7439,0.576,1158,19,0.727,0.232,4.2358e-05,0.99996
711887583,"Attrited Customer",47,"M",2,"Unknown","Married","$80K - $120K","Blue",37,2,3,3,5449,1628,3821,0.696,836,18,0.385,0.299,0.997,0.00299743
713843283,"Existing Customer",41,"F",3,"Unknown","Married","Unknown","Silver",34,5,3,3,34516,2053,32463,1.034,1487,26,0.733,0.059,0.00031177,0.99969
779155158,"Existing Customer",53,"M",3,"Graduate","Married","$120K +","Blue",34,6,2,2,2940,1264,1676,0.562,1259,33,0.5,0.43,0.00011811,0.99988
716657058,"Existing Customer",43,"F",4,"Post-Graduate","Married","Less than $40K","Blue",33,2,3,3,8358,926,7432,0.762,1566,37,0.542,0.111,0.00037329,0.99963
717929133,"Existing Customer",44,"M",1,"Uneducated","Married","$60K - $80K","Blue",36,5,2,3,14450,2440,12010,1.283,1235,30,0.667,0.169,0.00018475,0.99982
808284783,"Existing Customer",62,"F",1,"Unknown","Married","Less than $40K","Blue",56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0,7.7559e-06,0.99999
710916408,"Existing Customer",57,"M",4,"Graduate","Married","$60K - $80K","Blue",39,4,3,0,8466,1886,6580,0.56,1342,32,0.391,0.223,6.9589e-05,0.99993
708492558,"Existing Customer",42,"M",3,"Unknown","Married","$60K - $80K","Blue",36,5,3,3,15088,865,14223,0.939,1107,21,1.625,0.057,0.00034503,0.99965
718619883,"Existing Customer",54,"F",0,"Uneducated","Married","Less than $40K","Blue",36,2,2,2,1494,706,788,1.674,1305,24,3,0.473,0.00010043,0.9999
721074183,"Existing Customer",49,"M",1,"Doctorate","Married","$60K - $80K","Blue",36,4,6,3,24159,1196,22963,0.712,1111,24,1,0.05,0.00032436,0.99968
715259583,"Existing Customer",53,"F",2,"High School","Married","Less than $40K","Blue",44,3,2,3,5362,1901,3461,0.816,1553,38,1,0.355,0.0001861,0.99981
719666283,"Existing Customer",55,"F",1,"Doctorate","Married","Less than $40K","Blue",36,4,1,0,3174,1951,1223,0.766,1243,29,0.611,0.615,2.7596e-05,0.99997
714877233,"Existing Customer",53,"M",1,"High School","Married","$80K - $120K","Blue",47,3,2,2,12262,1836,10426,1.584,1659,38,1.533,0.15,0.00010386,0.9999
720201033,"Attrited Customer",53,"M",2,"Graduate","Married","$80K - $120K","Blue",41,3,3,2,11669,2227,9442,0.622,720,23,0.353,0.191,0.99447,0.00553
714752208,"Existing Customer",42,"F",1,"Graduate","Married","Less than $40K","Blue",36,5,1,2,2393,1985,408,0.788,978,16,0.778,0.83,5.1697e-05,0.99995
822063408,"Existing Customer",43,"M",4,"Unknown","Married","$40K - $60K","Blue",39,5,1,2,6111,2517,3594,0.632,1221,16,2.2,0.412,6.3492e-05,0.99994
714490308,"Existing Customer",57,"M",4,"Graduate","Married","$80K - $120K","Blue",46,3,2,3,19270,1662,17608,1.186,1565,28,1.545,0.086,0.00020077,0.9998
713356833,"Existing Customer",52,"M",1,"Graduate","Married","$80K - $120K","Blue",43,3,1,4,3710,2517,1193,1.541,1578,34,0.7,0.678,0.00014834,0.99985
711112683,"Existing Customer",63,"F",1,"College","Married","Unknown","Blue",36,6,2,3,3967,1568,2399,1.236,1657,29,1.231,0.395,0.0001747,0.99983
789322833,"Attrited Customer",48,"F",5,"High School","Married","Less than $40K","Blue",38,1,3,3,8025,0,8025,0.654,673,18,0.8,0,0.99672,0.00328187
709919283,"Existing Customer",54,"M",4,"Graduate","Married","$80K - $120K","Blue",34,2,3,2,14926,2517,12409,1.996,1576,25,1.5,0.169,0.00018864,0.99981
712950783,"Attrited Customer",48,"F",4,"Uneducated","Married","Less than $40K","Blue",38,3,2,3,2732,0,2732,0.76,739,16,0.455,0,0.99518,0.00481999
818839983,"Existing Customer",55,"M",2,"Graduate","Married","$120K +","Blue",50,3,2,0,10916,1536,9380,1.317,1592,34,1,0.141,4.1986e-05,0.99996
772288758,"Existing Customer",47,"F",4,"Graduate","Married","Unknown","Blue",36,4,1,3,5349,1228,4121,0.728,1343,30,1.308,0.23,9.7154e-05,0.9999
712350858,"Existing Customer",41,"M",2,"High School","Married","$80K - $120K","Blue",24,4,1,3,9366,1104,8262,0.572,1303,39,0.625,0.118,9.0056e-05,0.99991
712720158,"Existing Customer",68,"M",1,"Graduate","Married","Unknown","Blue",56,5,2,3,13860,1652,12208,1.255,1910,32,1.909,0.119,0.00017969,0.99982
795232683,"Existing Customer",53,"F",1,"College","Married","Less than $40K","Blue",47,4,2,3,2154,930,1224,2.121,1439,26,1.364,0.432,0.0001747,0.99983
713786508,"Existing Customer",42,"F",5,"Unknown","Married","$40K - $60K","Blue",36,3,3,3,2038,0,2038,0.786,1238,28,0.75,0,0.00034328,0.99966
712454058,"Existing Customer",49,"M",1,"Doctorate","Married","$120K +","Blue",38,6,1,3,9364,618,8746,0.554,1099,27,0.8,0.066,0.00012583,0.99987
718759833,"Existing Customer",44,"F",2,"Uneducated","Married","Unknown","Silver",35,4,3,2,32643,0,32643,1.3,1058,24,2.429,0,0.00016711,0.99983
720253908,"Existing Customer",56,"M",0,"High School","Married","$80K - $120K","Blue",43,5,2,1,2852,1024,1828,1.009,1651,28,1,0.359,5.7261e-05,0.99994
713187033,"Existing Customer",46,"M",1,"Uneducated","Married","$60K - $80K","Blue",36,3,2,2,20459,2071,18388,1.248,1767,38,2.167,0.101,0.00010985,0.99989
772426383,"Existing Customer",50,"F",4,"Uneducated","Married","$40K - $60K","Blue",40,5,2,3,3065,1570,1495,1.077,1130,28,1.333,0.512,0.00020643,0.99979
710975883,"Existing Customer",51,"F",3,"Uneducated","Married","Less than $40K","Blue",43,3,1,2,2185,1761,424,0.682,1645,30,0.429,0.806,5.8763e-05,0.99994
714264408,"Existing Customer",47,"F",3,"Uneducated","Married","Less than $40K","Blue",36,4,1,0,1611,746,865,0.993,1413,29,0.706,0.463,2.1676e-05,0.99998
715827858,"Existing Customer",58,"F",4,"Uneducated","Married","Less than $40K","Blue",47,3,3,3,2822,2173,649,1.456,1218,23,2.286,0.77,0.0003262,0.99967
709531908,"Existing Customer",53,"M",3,"High School","Married","$60K - $80K","Blue",47,5,2,2,1438.3,0,1438.3,0.776,2184,53,0.828,0,0.00011482,0.99989
714141108,"Existing Customer",52,"F",1,"High School","Married","Less than $40K","Blue",45,6,3,3,6703,893,5810,0.567,1388,28,0.75,0.133,0.00027604,0.99972
708953883,"Attrited Customer",53,"M",2,"Unknown","Married","$80K - $120K","Blue",36,2,2,1,3212,0,3212,0.713,757,20,0.25,0,0.98692,0.01308
712608783,"Existing Customer",50,"M",2,"High School","Married","$80K - $120K","Silver",45,3,1,3,34516,1260,33256,0.588,1504,34,0.789,0.037,8.1371e-05,0.99992
820353558,"Existing Customer",41,"F",3,"High School","Married","$40K - $60K","Blue",36,4,1,2,9797,1434,8363,0.644,1503,34,0.478,0.146,5.5559e-05,0.99994
716264358,"Existing Customer",53,"M",3,"Uneducated","Married","$80K - $120K","Blue",42,2,1,2,26792,1836,24956,1.432,2398,47,0.88,0.069,5.8763e-05,0.99994
717296808,"Existing Customer",67,"F",1,"Graduate","Married","Less than $40K","Blue",56,4,3,2,3006,2517,489,2.053,1661,32,1,0.837,0.00016883,0.99983
710829108,"Existing Customer",59,"F",1,"Uneducated","Married","$40K - $60K","Blue",36,4,2,3,3356,985,2371,0.35,999,28,0.556,0.294,0.00018475,0.99982
779562633,"Existing Customer",45,"M",2,"Uneducated","Married","$40K - $60K","Blue",34,3,2,1,5771,2248,3523,1.791,1387,18,0.8,0.39,7.0576e-05,0.99993
715315833,"Existing Customer",51,"M",3,"Graduate","Married","$80K - $120K","Blue",36,6,2,3,11106,2107,8999,0.948,1243,24,1,0.19,0.00019864,0.9998
815500983,"Existing Customer",59,"F",1,"Uneducated","Married","Less than $40K","Blue",54,5,3,0,2890,2001,889,1.334,1860,36,1,0.692,6.4038e-05,0.99994
719360583,"Existing Customer",53,"M",1,"Graduate","Married","$60K - $80K","Blue",45,6,2,2,3380,1701,1679,0.747,1502,25,1.273,0.503,0.00010684,0.99989
709701558,"Existing Customer",47,"M",3,"Graduate","Married","$60K - $80K","Blue",36,2,1,2,21331,1251,20080,0.949,1460,50,1.083,0.059,5.7151e-05,0.99994
711033408,"Existing Customer",50,"F",2,"High School","Married","Less than $40K","Blue",36,5,1,2,9355,1626,7729,0.701,1230,28,0.867,0.174,5.3542e-05,0.99995
779956608,"Existing Customer",41,"F",2,"Post-Graduate","Married","Unknown","Blue",31,6,1,3,20758,0,20758,0.688,1555,32,0.684,0,0.000109,0.99989
780376683,"Existing Customer",57,"M",1,"Graduate","Married","$80K - $120K","Blue",47,5,3,1,14612,1976,12636,1.768,1827,24,3,0.135,0.00010182,0.9999
714454758,"Existing Customer",57,"F",3,"Graduate","Married","Less than $40K","Blue",47,4,2,3,6347,1594,4753,0.896,1771,37,0.762,0.251,0.00019864,0.9998
780466533,"Existing Customer",54,"M",3,"Doctorate","Married","$120K +","Blue",41,3,3,0,21592,1676,19916,1.097,1873,52,0.529,0.078,9.9638e-05,0.9999
715735233,"Existing Customer",51,"F",5,"Post-Graduate","Married","Less than $40K","Blue",44,5,1,1,3449,1598,1851,0.971,1679,42,0.556,0.463,4.0349e-05,0.99996
720476733,"Existing Customer",47,"F",3,"High School","Married","Less than $40K","Blue",34,2,1,2,6028,799,5229,0.819,1002,22,0.571,0.133,5.5559e-05,0.99994
712375758,"Existing Customer",53,"M",3,"Uneducated","Married","$80K - $120K","Blue",43,3,3,1,16393,1423,14970,1.642,1461,42,0.75,0.087,0.00011574,0.99988
708868233,"Attrited Customer",68,"M",0,"High School","Married","Less than $40K","Blue",52,1,3,2,1438.3,900,538.3,0.743,760,21,0.615,0.626,0.99338,0.00662
718030083,"Existing Customer",59,"M",1,"College","Married","$60K - $80K","Blue",36,4,1,2,7871,1687,6184,1.242,1428,22,1.444,0.214,5.0261e-05,0.99995
720707283,"Existing Customer",48,"M",4,"Unknown","Married","$80K - $120K","Blue",36,5,3,0,5288,866,4422,0.869,1777,42,0.75,0.164,7.6492e-05,0.99992
771698658,"Existing Customer",44,"M",5,"Graduate","Married","$60K - $80K","Blue",32,4,5,3,11376,2006,9370,0.619,1302,27,0.8,0.176,0.00034882,0.99965
748326258,"Existing Customer",48,"M",3,"College","Married","$80K - $120K","Blue",41,4,5,3,12302,1632,10670,1.509,1483,41,0.519,0.133,0.00034086,0.99966
770817783,"Existing Customer",47,"M",4,"Graduate","Married","$60K - $80K","Silver",33,3,2,1,34516,1679,32837,0.623,1060,27,0.5,0.049,6.5045e-05,0.99993
779353083,"Existing Customer",47,"M",2,"Graduate","Married","$60K - $80K","Silver",32,4,2,2,34516,1468,33048,0.505,1330,32,0.684,0.043,0.00010284,0.9999
719808558,"Attrited Customer",55,"F",2,"Graduate","Married","Less than $40K","Blue",43,2,4,3,1438.3,0,1438.3,0.707,886,27,0.421,0,0.99727,0.00272694
711551958,"Attrited Customer",59,"M",2,"Post-Graduate","Married","$60K - $80K","Blue",46,3,3,3,1438.3,0,1438.3,0.688,844,24,0.5,0,0.9972,0.00280059
809164083,"Existing Customer",63,"M",1,"Graduate","Married","$40K - $60K","Blue",56,2,1,2,2619,1779,840,1.259,1450,37,0.947,0.679,5.1697e-05,0.99995
820596183,"Existing Customer",58,"M",2,"College","Married","$120K +","Blue",53,2,3,0,24407,2395,22012,1.071,2311,48,0.714,0.098,6.4511e-05,0.99994
715999608,"Existing Customer",53,"F",2,"High School","Married","Less than $40K","Blue",36,4,1,2,2377,1649,728,0.93,1378,26,1.167,0.694,5.3542e-05,0.99995
805543158,"Existing Customer",52,"M",3,"Graduate","Married","$120K +","Blue",47,5,3,3,11086,2207,8879,0.869,1523,40,1.105,0.199,0.0003139,0.99969
716479233,"Existing Customer",43,"M",4,"High School","Married","$40K - $60K","Blue",36,5,3,2,13258,1721,11537,0.908,1080,21,1.333,0.13,0.00018339,0.99982
770746908,"Existing Customer",44,"M",4,"Unknown","Married","$60K - $80K","Blue",30,5,1,2,7872,2509,5363,0.971,1155,32,0.882,0.319,6.3492e-05,0.99994
794843883,"Existing Customer",41,"M",3,"High School","Married","$80K - $120K","Blue",35,6,1,2,34516,1202,33314,0.603,1353,33,0.737,0.035,5.5559e-05,0.99994
714606558,"Existing Customer",60,"F",1,"Uneducated","Married","Less than $40K","Blue",36,5,1,0,1913,1272,641,1.008,1448,22,1,0.665,1.9607e-05,0.99998
788900883,"Existing Customer",51,"F",2,"Graduate","Married","Less than $40K","Blue",36,3,1,3,3106,1304,1802,0.604,1368,38,0.407,0.42,9.2637e-05,0.99991
758348808,"Existing Customer",51,"M",2,"Graduate","Married","$120K +","Blue",44,4,3,3,34516,1666,32850,0.613,1218,18,0.8,0.048,0.00030251,0.9997
772336458,"Attrited Customer",60,"F",1,"Uneducated","Married","$40K - $60K","Blue",50,4,4,3,1438.3,1025,413.3,0.838,702,12,0.714,0.713,0.99717,0.00282527
708711483,"Existing Customer",57,"M",2,"Unknown","Married","$80K - $120K","Blue",46,2,3,0,18871,1740,17131,1.727,1516,21,2,0.092,7.2936e-05,0.99993
790096533,"Existing Customer",55,"M",2,"College","Married","$60K - $80K","Blue",48,4,3,2,8863,1301,7562,1.207,1512,27,1.455,0.147,0.00017488,0.99983
720997383,"Attrited Customer",52,"M",1,"Uneducated","Married","$80K - $120K","Blue",36,2,3,3,1857,1833,24,0.723,829,17,0.7,0.987,0.99659,0.00341249
709930758,"Existing Customer",41,"M",2,"Uneducated","Married","$40K - $60K","Blue",30,5,3,3,11107,1222,9885,0.538,1506,33,0.941,0.11,0.00031104,0.99969
710299608,"Attrited Customer",53,"F",2,"Unknown","Married","Less than $40K","Blue",33,2,3,3,2859,2517,342,0.993,817,30,0.667,0.88,0.997,0.00299743
821797008,"Attrited Customer",49,"M",5,"College","Married","$40K - $60K","Blue",45,2,2,3,1438.3,0,1438.3,0.734,815,21,0.615,0,0.99482,0.00518
708874533,"Attrited Customer",45,"F",2,"College","Married","Less than $40K","Blue",36,1,3,2,3387,0,3387,0.789,510,24,0.6,0,0.99432,0.00568
715341858,"Existing Customer",54,"M",2,"Graduate","Married","$80K - $120K","Blue",46,6,2,3,1982,1289,693,0.939,1377,49,0.69,0.65,0.00019143,0.99981
712125258,"Attrited Customer",46,"M",4,"High School","Married","$120K +","Blue",30,3,3,3,2442,0,2442,0.98,701,19,0.727,0,0.99677,0.00323086
709703433,"Existing Customer",47,"M",3,"Graduate","Married","$60K - $80K","Blue",38,4,1,2,21304,1532,19772,1.018,1770,25,0.923,0.072,5.7151e-05,0.99994
715952883,"Existing Customer",73,"M",0,"High School","Married","$40K - $60K","Blue",36,5,3,2,4469,1125,3344,1.363,1765,34,1.615,0.252,0.00015005,0.99985
787348608,"Existing Customer",70,"M",0,"High School","Married","Less than $40K","Blue",56,3,2,3,3252,1495,1757,0.581,1227,15,0.875,0.46,0.0001597,0.99984
709485033,"Existing Customer",55,"F",2,"High School","Married","Less than $40K","Blue",36,4,3,3,2358,1152,1206,0.969,1737,26,1.6,0.489,0.00029408,0.99971
779656908,"Existing Customer",40,"M",1,"Graduate","Married","$40K - $60K","Blue",23,6,3,2,6990,1378,5612,0.73,1479,29,0.611,0.197,0.00016883,0.99983
778867533,"Attrited Customer",59,"F",0,"Post-Graduate","Married","$40K - $60K","Blue",40,1,4,1,1438.3,0,1438.3,1.038,689,23,0.353,0,0.9925,0.0075
710620383,"Existing Customer",43,"M",4,"Unknown","Married","$60K - $80K","Blue",35,6,3,2,24396,1171,23225,0.655,965,17,1.125,0.048,0.00020735,0.99979
778661358,"Existing Customer",46,"F",1,"Unknown","Married","Less than $40K","Blue",36,2,3,2,2474,2143,331,1.53,1541,40,1,0.866,0.00018558,0.99981
789483333,"Existing Customer",41,"M",2,"Uneducated","Married","$40K - $60K","Blue",32,5,1,3,5214,795,4419,0.707,1258,23,1.3,0.152,9.5249e-05,0.9999
809855808,"Existing Customer",51,"F",2,"Graduate","Married","Less than $40K","Blue",46,5,2,2,5207,1650,3557,0.708,1339,20,0.538,0.317,0.00011382,0.99989
771809733,"Attrited Customer",64,"F",0,"High School","Married","$40K - $60K","Blue",53,1,3,3,3353,0,3353,1.021,960,18,0.385,0,0.99605,0.00394582
719942883,"Existing Customer",54,"M",5,"Graduate","Married","$60K - $80K","Blue",38,3,3,3,2290,1434,856,0.923,1119,18,3.5,0.626,0.00031231,0.99969
720615708,"Existing Customer",57,"M",0,"Uneducated","Married","$40K - $60K","Blue",45,6,2,2,2601,0,2601,0.814,1232,32,0.684,0,0.00010043,0.9999
721132233,"Existing Customer",42,"F",4,"Uneducated","Married","Less than $40K","Blue",31,2,2,2,2410,1769,641,0.759,1217,30,1.143,0.734,0.00012274,0.99988
712069008,"Existing Customer",42,"F",4,"Uneducated","Married","Less than $40K","Blue",23,4,2,0,2260,1007,1253,0.84,1614,33,0.737,0.446,4.5275e-05,0.99995
773466258,"Existing Customer",48,"F",4,"High School","Married","$40K - $60K","Blue",42,3,1,3,4206,1100,3106,0.587,1144,22,1,0.262,9.4447e-05,0.99991
716451183,"Existing Customer",54,"F",1,"Uneducated","Married","$40K - $60K","Blue",44,5,2,3,5556,1711,3845,1.434,1706,21,1.625,0.308,0.00018475,0.99982
718621608,"Attrited Customer",54,"F",2,"High School","Married","Unknown","Blue",44,3,3,1,6094,0,6094,1.129,909,14,0.273,0,0.99061,0.00939
715085733,"Existing Customer",61,"M",0,"Graduate","Married","$40K - $60K","Blue",52,3,1,2,2939,1999,940,2.145,2434,33,1.538,0.68,4.7263e-05,0.99995
